Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
A1AG1_MOUSE,    0.680407,  0.267192,  1.093623, 1,   1.000000,    0.148829, 345343008.000000
A1AT1_MOUSE,    0.417124,  0.232600,  0.601647, 12,  18.000000,    0.092262, 156032335872.000000
A1AT2_MOUSE,    0.567577,  0.454532,  0.680623, 4,  18.000000,    0.056523, 44941619200.000000
A1AT3_MOUSE,    0.455684,  0.455684,  0.455684, 6,   6.000000,    0.000000, 6046144000.000000
A1AT4_MOUSE,    0.397634,  0.286531,  0.508736, 4,   4.000000,    0.055551, 34741006336.000000
A1AT5_MOUSE,    0.603264,  0.459025,  0.747504, 4,   5.000000,    0.072120, 28759050240.000000
A2AP_MOUSE,    0.308974,  0.124696,  0.493252, 3,   5.000000,    0.092139, 7881366016.000000
A2MG_MOUSE,    0.322148,  0.235076,  0.409220, 2,   2.000000,    0.043536, 10546641920.000000
AFAM_MOUSE,    0.129831,  0.063374,  0.196288, 4,   8.000000,    0.033229, 4232938240.000000
ALBU_MOUSE,    0.134199,  0.098216,  0.170183, 58,  67.000000,    0.017992, 5309869850624.000000
ALS_MOUSE,    1.361135,  1.247004,  1.475267, 3,   4.000000,    0.057066, 561354304.000000
AMBP_MOUSE,    1.025036,  0.761877,  1.288195, 2,   2.000000,    0.131580, 2030442624.000000
ANGT_MOUSE,    2.294061,  1.234113,  3.354009, 3,   3.000000,    0.529974, 503866432.000000
ANT3_MOUSE,    0.559812,  0.296186,  0.823437, 5,   9.000000,    0.131813, 9871129600.000000
APOA1_MOUSE,    0.708013,  0.472481,  0.943546, 7,  14.000000,    0.117766, 186049658880.000000
APOA2_MOUSE,    0.866308,  0.501522,  1.231093, 2,   2.000000,    0.182393, 12922697728.000000
APOA4_MOUSE,    0.453741,  0.213434,  0.694047, 7,   7.000000,    0.120153, 10259874816.000000
APOB_MOUSE,    3.116297,  0.685493,  5.547100, 4,  14.000000,    1.215402, 4729517568.000000
APOC1_MOUSE,    3.787270,  2.484423,  5.090116, 2,   2.000000,    0.651423, 9938428928.000000
APOC3_MOUSE,    2.115027,  1.185189,  3.044865, 2,   2.000000,    0.464919, 2226887936.000000
APOE_MOUSE,    3.566954,  1.744826,  5.389081, 3,   3.000000,    0.911064, 9725032448.000000
APOH_MOUSE,    1.213449,  0.609926,  1.816973, 4,   6.000000,    0.301762, 7540959232.000000
C1QB_MOUSE,    0.307787,  0.000000,  1.691434, 1,   1.000000,    0.227356, 71771296.000000
C4BPA_MOUSE,    0.258883,  0.008013,  0.509752, 1,   1.000000,    0.090356, 855217600.000000
CBG_MOUSE,    0.241083,  0.038880,  0.443286, 3,   3.000000,    0.101101, 1233155456.000000
CBPB2_MOUSE,    0.392102,  0.095239,  0.688965, 3,   3.000000,    0.148432, 755158592.000000
CBPN_MOUSE,    0.357950,  0.187389,  0.528511, 2,   2.000000,    0.085280, 1470569856.000000
CERU_MOUSE,    0.516678,  0.284474,  0.748881, 9,  18.000000,    0.116102, 12528737280.000000
CES1D_MOUSE,    0.389206,  0.290202,  0.488211, 2,   2.000000,    0.049502, 7826229248.000000
CFAB_MOUSE,    0.953474,  0.486903,  1.420045, 4,   8.000000,    0.233286, 5158661120.000000
CFAD_MOUSE,    0.708992,  0.419536,  0.998447, 1,   1.000000,    0.104254, 75901128.000000
CFAH_MOUSE,    0.486907,  0.234718,  0.739096, 9,  15.000000,    0.126094, 7252386816.000000
CFAI_MOUSE,    0.104479,  0.028639,  0.180318, 3,   3.000000,    0.037920, 601215104.000000
CLUS_MOUSE,    2.055650,  1.346701,  2.764600, 4,   6.000000,    0.354475, 3998552320.000000
CO3_MOUSE,    1.100902,  0.725261,  1.476543, 31,  52.000000,    0.187821, 133788770304.000000
CO4B_MOUSE,    0.776885,  0.457164,  1.096607, 5,  14.000000,    0.159861, 4781511680.000000
CO5_MOUSE,    0.560883,  0.368652,  0.753115, 11,  20.000000,    0.096116, 9236278272.000000
CO8A_MOUSE,    0.175904,  0.031842,  0.319965, 3,   3.000000,    0.072031, 1706983936.000000
CO8B_MOUSE,    0.444349,  0.291177,  0.597522, 3,   3.000000,    0.076586, 762233600.000000
CO8G_MOUSE,    0.797372,  0.544662,  1.050082, 2,   2.000000,    0.126355, 433100640.000000
CO9_MOUSE,    0.900241,  0.648868,  1.151615, 2,   6.000000,    0.125687, 645377536.000000
CPN2_MOUSE,    0.397669,  0.207984,  0.587355, 3,   5.000000,    0.094843, 2791014144.000000
EGFR_MOUSE,    0.305344,  0.209939,  0.400748, 4,   6.000000,    0.047702, 4319066112.000000
EST1C_MOUSE,    0.666817,  0.507964,  0.825670, 6,  13.000000,    0.079427, 16514241536.000000
FA10_MOUSE,    0.290907,  0.018238,  0.563575, 3,   3.000000,    0.136334, 768727424.000000
FETUA_MOUSE,    0.870816,  0.585683,  1.155949, 3,   3.000000,    0.142566, 4654786048.000000
FETUB_MOUSE,    0.596388,  0.409208,  0.783568, 2,   2.000000,    0.093590, 3746683136.000000
FIBA_MOUSE,    0.504159,  0.227808,  0.780509, 3,   4.000000,    0.138175, 7569580032.000000
FIBB_MOUSE,    0.651702,  0.456886,  0.846518, 2,   2.000000,    0.097408, 2564949504.000000
FIBG_MOUSE,    0.500331,  0.281557,  0.719105, 3,   3.000000,    0.109387, 4816550400.000000
FINC_MOUSE,    0.709306,  0.332821,  1.085792, 13,  28.000000,    0.188243, 17706754048.000000
GELS_MOUSE,    0.762108,  0.461971,  1.062245, 4,   9.000000,    0.150068, 4058927616.000000
GPX3_MOUSE,    0.762498,  0.595239,  0.929757, 2,   2.000000,    0.083629, 1326185344.000000
HA10_MOUSE,    1.188826,  0.740631,  1.637021, 5,   7.000000,    0.224097, 3946528256.000000
HBA_MOUSE,    0.024347,  0.014897,  0.033796, 6,   7.000000,    0.004725, 30009868288.000000
HBB1_MOUSE,    0.021259,  0.014114,  0.028404, 9,   9.000000,    0.003573, 91033239552.000000
HEMO_MOUSE,    0.332557,  0.172062,  0.493053, 18,  24.000000,    0.080248, 101012250624.000000
HEP2_MOUSE,    0.821155,  0.237687,  1.404622, 4,   7.000000,    0.291734, 3261465600.000000
HGFA_MOUSE,    1.225764,  0.261692,  2.189836, 1,   1.000000,    0.505936, 55920096.000000
HPT_MOUSE,    1.112239,  0.000000,  2.580010, 3,   3.000000,    0.733886, 2708308224.000000
HRG_MOUSE,    0.645223,  0.378632,  0.911814, 4,   7.000000,    0.133295, 4807046144.000000
HVM17_MOUSE,    0.056768,  0.029509,  0.084027, 1,   1.000000,    0.011140, 116149112.000000
HVM51_MOUSE,    0.122991,  0.048838,  0.197144, 1,   1.000000,    0.023301, 223415392.000000
HVM60_MOUSE,    0.097259,  0.000207,  0.194310, 1,   1.000000,    0.037755, 130687832.000000
IC1_MOUSE,    2.310909,  1.127082,  3.494735, 2,   4.000000,    0.591913, 2619285248.000000
ICA_MOUSE,    1.055081,  0.739001,  1.371162, 4,   5.000000,    0.158040, 4152795136.000000
IGG2B_MOUSE,    0.090548,  0.054323,  0.126772, 5,   8.000000,    0.018112, 8798083072.000000
IGH1M_MOUSE,    0.032623,  0.019664,  0.045583, 3,   3.000000,    0.006480, 3595769344.000000
IGHA_MOUSE,    0.696769,  0.622406,  0.771132, 3,   3.000000,    0.037181, 3480772096.000000
IGHG3_MOUSE,    0.151513,  0.115253,  0.187772, 2,   2.000000,    0.018130, 6648638976.000000
IGHM_MOUSE,    0.246096,  0.158129,  0.334062, 6,  10.000000,    0.043983, 16231887872.000000
IGKC_MOUSE,    0.044643,  0.014780,  0.074505, 3,   4.000000,    0.014931, 10126826496.000000
IL1AP_MOUSE,    0.157440,  0.000000,  0.352661, 3,   3.000000,    0.097611, 870452224.000000
ITIH1_MOUSE,    0.668377,  0.302896,  1.033857, 4,   6.000000,    0.182740, 1242787840.000000
ITIH2_MOUSE,    0.746444,  0.525421,  0.967466, 4,   7.000000,    0.110511, 6085094912.000000
ITIH4_MOUSE,    0.510898,  0.000000,  1.026793, 5,  12.000000,    0.257947, 5858324480.000000
K2C1B_MOUSE,    0.402021,  0.000000,  9.782052, 1,   1.000000,    0.634274, 140063152.000000
K2C1_MOUSE,    0.006681,  0.000000,  3.045417, 1,   1.000000,    0.006307, 60470564.000000
K2C5_MOUSE,    0.000001,  0.000000,  2.390250, 1,   1.000000,    0.003757, 39660472.000000
KLKB1_MOUSE,    0.404438,  0.239683,  0.569193, 2,   8.000000,    0.082378, 2833605888.000000
KNG1_MOUSE,    0.654302,  0.466235,  0.842369, 6,   8.000000,    0.094034, 13048561664.000000
KV2A6_MOUSE,    0.053998,  0.029405,  0.078590, 1,   1.000000,    0.007728, 91035792.000000
KV3A1_MOUSE,    0.118220,  0.089793,  0.146646, 2,   2.000000,    0.014213, 416937984.000000
KV5A3_MOUSE,    0.034307,  0.017203,  0.051411, 2,   2.000000,    0.008552, 1858131968.000000
KV5A7_MOUSE,    0.020984,  0.000000,  2.181927, 1,   1.000000,    0.017220, 181515840.000000
KV6AB_MOUSE,    0.044486,  0.000000,  1.947302, 1,   1.000000,    0.019297, 160742528.000000
LCAT_MOUSE,    0.820423,  0.458109,  1.182736, 1,   1.000000,    0.392987, 80814776.000000
LIFR_MOUSE,    0.194782,  0.077047,  0.312518, 3,   6.000000,    0.058868, 2201443072.000000
LUM_MOUSE,    0.043012,  0.005929,  0.080095, 2,   2.000000,    0.018542, 444551200.000000
MBL2_MOUSE,    1.217274,  0.618741,  1.815807, 2,   4.000000,    0.299266, 399117344.000000
MUG1_MOUSE,    0.368567,  0.258327,  0.478807, 21,  31.000000,    0.055120, 73351446528.000000
MUP2_MOUSE,   66.633896,  0.000000,135.497375, 2,   2.000000,   34.431744, 177466176.000000
PHLD_MOUSE,    0.429299,  0.261547,  0.597051, 4,   7.000000,    0.083876, 3834926336.000000
PLF4_MOUSE,    0.141268,  0.031940,  0.250595, 1,   1.000000,    0.034353, 97995792.000000
PLMN_MOUSE,    0.943492,  0.636858,  1.250126, 9,  14.000000,    0.153317, 7136326144.000000
PON1_MOUSE,    0.251131,  0.078010,  0.424252, 3,   4.000000,    0.086561, 1890229504.000000
PZP_MOUSE,    0.270773,  0.178080,  0.363466, 42,  52.000000,    0.046347, 401964367872.000000
QSOX1_MOUSE,    0.837483,  0.663637,  1.011330, 4,   6.000000,    0.086923, 904271296.000000
RET4_MOUSE,    3.749195,  2.476564,  5.021825, 3,   3.000000,    0.636315, 2653923584.000000
SAA4_MOUSE,    0.922248,  0.494952,  1.349544, 3,   3.000000,    0.213648, 1030495104.000000
SPA3G_MOUSE,    0.015125,  0.000000,  0.946846, 1,   1.000000,    0.018093, 45573092.000000
SPA3K_MOUSE,    0.427733,  0.279047,  0.576420, 9,  15.000000,    0.074343, 72848826368.000000
SPA3M_MOUSE,    0.285723,  0.101814,  0.469632, 3,   4.000000,    0.091955, 1766071424.000000
SPA3N_MOUSE,    0.885257,  0.577738,  1.192776, 2,   4.000000,    0.153759, 505111072.000000
SPP24_MOUSE,    0.598949,  0.236165,  0.961734, 1,   1.000000,    0.130665, 81049056.000000
TFR1_MOUSE,    0.039532,  0.000000,  1.528246, 1,   1.000000,    0.057456, 12106136.000000
THRB_MOUSE,    0.771116,  0.440987,  1.101245, 8,  12.000000,    0.165064, 17925734400.000000
TRFE_MOUSE,    0.299690,  0.196863,  0.402517, 45,  58.000000,    0.051413, 476363096064.000000
TSP1_MOUSE,    0.032735,  0.000000,  0.067202, 3,   3.000000,    0.017234, 351068256.000000
TTHY_MOUSE,    1.162404,  0.619824,  1.704984, 5,   7.000000,    0.271290, 62150807552.000000
VTDB_MOUSE,    1.063611,  0.615605,  1.511616, 6,  15.000000,    0.224003, 24767600640.000000
VTNC_MOUSE,    1.522416,  0.917137,  2.127696, 4,   8.000000,    0.302640, 3426080512.000000
ZA2G_MOUSE,    1.469882,  0.299359,  2.640405, 1,   4.000000,    0.455353, 600044032.000000
